Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,ActivityDay
1503960366,3/25/2016,11004,7.110000134,7.110000134,2.569999933,0.4600000083,4.070000172,0,33,12,205,804,1819,Friday
1503960366,3/26/2016,17609,11.55000019,11.55000019,6.920000076,0.7300000191,3.910000086,0,89,17,274,588,2154,Saturday
1503960366,3/27/2016,12736,8.529999733,8.529999733,4.659999847,0.1599999964,3.710000038,0,56,5,268,605,1944,Sunday
1503960366,3/28/2016,13231,8.930000305,8.930000305,3.190000057,0.7900000215,4.949999809,0,39,20,224,1080,1932,Monday
1503960366,3/29/2016,12041,7.849999905,7.849999905,2.160000086,1.090000033,4.610000134,0,28,28,243,763,1886,Tuesday
1503960366,3/30/2016,10970,7.159999847,7.159999847,2.359999895,0.5099999905,4.289999962,0,30,13,223,1174,1820,Wednesday
1503960366,3/31/2016,12256,7.860000134,7.860000134,2.289999962,0.4900000095,5.039999962,0,33,12,239,820,1889,Thursday
1503960366,4/1/2016,12262,7.869999886,7.869999886,3.319999933,0.8299999833,3.640000105,0,47,21,200,866,1868,Friday
1503960366,4/2/2016,11248,7.25,7.25,3,0.4499999881,3.74000001,0,40,11,244,636,1843,Saturday
1503960366,4/3/2016,10016,6.369999886,6.369999886,0.9100000262,1.279999971,4.179999828,0,15,30,314,655,1850,Sunday
1503960366,4/4/2016,14557,9.800000191,9.800000191,3.390000105,0.6999999881,5.690000057,0,43,18,285,757,2030,Monday
1503960366,4/5/2016,14844,9.729999542,9.729999542,2.940000057,0.7599999905,6.039999962,0,36,18,341,736,2083,Tuesday
1503960366,4/6/2016,11974,7.670000076,7.670000076,2.039999962,0.4799999893,5.150000095,0,27,12,228,1173,1861,Wednesday
1503960366,4/7/2016,10198,6.440000057,6.440000057,1.200000048,0.7900000215,4.449999809,0,17,20,195,1208,1755,Thursday
1503960366,4/8/2016,12521,7.940000057,7.940000057,3.309999943,0.8999999762,3.74000001,0,46,22,212,1160,1895,Friday
1503960366,4/9/2016,12432,8.100000381,8.100000381,2.589999914,0.5899999738,4.920000076,0,32,15,248,738,1883,Saturday
1503960366,4/10/2016,10057,6.980000019,6.980000019,4,0.4900000095,2.480000019,0,44,13,168,737,1755,Sunday
1503960366,4/11/2016,10990,7.260000229,7.260000229,2.039999962,0.5699999928,4.650000095,0,26,14,216,855,1811,Monday
1503960366,4/12/2016,13162,8.5,8.5,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1985,Tuesday
1503960366,4/13/2016,10735,6.96999979,6.96999979,1.570000052,0.6899999976,4.710000038,0,21,19,217,776,1797,Wednesday
1503960366,4/14/2016,10460,6.739999771,6.739999771,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,Thursday
1503960366,4/15/2016,9762,6.28000021,6.28000021,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,Friday
1503960366,4/16/2016,12669,8.159999847,8.159999847,2.710000038,0.4099999964,5.039999962,0,36,10,221,773,1863,Saturday
