Id,Date,Time,StepTotal
1503960366,4/12/2016,12:00:00,373
1503960366,4/12/2016,1:00:00,160
1503960366,4/12/2016,2:00:00,151
1503960366,4/12/2016,3:00:00,0
1503960366,4/12/2016,4:00:00,0
1503960366,4/12/2016,5:00:00,0
1503960366,4/12/2016,6:00:00,0
1503960366,4/12/2016,7:00:00,0
1503960366,4/12/2016,8:00:00,250
1503960366,4/12/2016,9:00:00,1864
1503960366,4/12/2016,10:00:00,676
1503960366,4/12/2016,11:00:00,360
1503960366,4/12/2016,12:00:00,253
1503960366,4/12/2016,1:00:00,221
1503960366,4/12/2016,2:00:00,1166
1503960366,4/12/2016,3:00:00,2063
1503960366,4/12/2016,4:00:00,344
1503960366,4/12/2016,5:00:00,489
1503960366,4/12/2016,6:00:00,1386
1503960366,4/12/2016,7:00:00,558
1503960366,4/12/2016,8:00:00,1733
1503960366,4/12/2016,9:00:00,684
1503960366,4/12/2016,10:00:00,89
1503960366,4/12/2016,11:00:00,338
1503960366,4/13/2016,12:00:00,144
1503960366,4/13/2016,1:00:00,0
1503960366,4/13/2016,2:00:00,0
1503960366,4/13/2016,3:00:00,36
1503960366,4/13/2016,4:00:00,0
1503960366,4/13/2016,5:00:00,0
1503960366,4/13/2016,6:00:00,0
1503960366,4/13/2016,7:00:00,126
1503960366,4/13/2016,8:00:00,275
1503960366,4/13/2016,9:00:00,1679
1503960366,4/13/2016,10:00:00,295
1503960366,4/13/2016,11:00:00,524
1503960366,4/13/2016,12:00:00,486
1503960366,4/13/2016,1:00:00,302
1503960366,4/13/2016,2:00:00,1577
1503960366,4/13/2016,3:00:00,493
1503960366,4/13/2016,4:00:00,299
1503960366,4/13/2016,5:00:00,695
1503960366,4/13/2016,6:00:00,1343
1503960366,4/13/2016,7:00:00,258
1503960366,4/13/2016,8:00:00,0
1503960366,4/13/2016,9:00:00,0
1503960366,4/13/2016,10:00:00,437
1503960366,4/13/2016,11:00:00,1766
1503960366,4/14/2016,12:00:00,81
1503960366,4/14/2016,1:00:00,58
1503960366,4/14/2016,2:00:00,0
1503960366,4/14/2016,3:00:00,0
1503960366,4/14/2016,4:00:00,0
1503960366,4/14/2016,5:00:00,0
1503960366,4/14/2016,6:00:00,0
1503960366,4/14/2016,7:00:00,0
1503960366,4/14/2016,8:00:00,0
1503960366,4/14/2016,9:00:00,902
1503960366,4/14/2016,10:00:00,1106
1503960366,4/14/2016,11:00:00,50
1503960366,4/14/2016,12:00:00,501
1503960366,4/14/2016,1:00:00,1779
1503960366,4/14/2016,2:00:00,1228
1503960366,4/14/2016,3:00:00,139
1503960366,4/14/2016,4:00:00,408
1503960366,4/14/2016,5:00:00,37
1503960366,4/14/2016,6:00:00,322
1503960366,4/14/2016,7:00:00,11
1503960366,4/14/2016,8:00:00,806
1503960366,4/14/2016,9:00:00,2670
1503960366,4/14/2016,10:00:00,362
1503960366,4/14/2016,11:00:00,0
